Path	Type	Offset	BitOffset	BitSize	Enum	Description
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[13]	<class 'pyrogue._Variable.RemoteVariable'>	0x34	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[14]	<class 'pyrogue._Variable.RemoteVariable'>	0x38	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[15]	<class 'pyrogue._Variable.RemoteVariable'>	0x3c	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[16]	<class 'pyrogue._Variable.RemoteVariable'>	0x40	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[17]	<class 'pyrogue._Variable.RemoteVariable'>	0x44	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[18]	<class 'pyrogue._Variable.RemoteVariable'>	0x48	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[19]	<class 'pyrogue._Variable.RemoteVariable'>	0x4c	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[20]	<class 'pyrogue._Variable.RemoteVariable'>	0x50	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[21]	<class 'pyrogue._Variable.RemoteVariable'>	0x54	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[22]	<class 'pyrogue._Variable.RemoteVariable'>	0x58	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[23]	<class 'pyrogue._Variable.RemoteVariable'>	0x5c	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[24]	<class 'pyrogue._Variable.RemoteVariable'>	0x60	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[25]	<class 'pyrogue._Variable.RemoteVariable'>	0x64	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[26]	<class 'pyrogue._Variable.RemoteVariable'>	0x68	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[27]	<class 'pyrogue._Variable.RemoteVariable'>	0x6c	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[28]	<class 'pyrogue._Variable.RemoteVariable'>	0x70	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[29]	<class 'pyrogue._Variable.RemoteVariable'>	0x74	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[30]	<class 'pyrogue._Variable.RemoteVariable'>	0x78	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[31]	<class 'pyrogue._Variable.RemoteVariable'>	0x7c	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[32]	<class 'pyrogue._Variable.RemoteVariable'>	0x80	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[33]	<class 'pyrogue._Variable.RemoteVariable'>	0x84	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[34]	<class 'pyrogue._Variable.RemoteVariable'>	0x88	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[35]	<class 'pyrogue._Variable.RemoteVariable'>	0x8c	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[36]	<class 'pyrogue._Variable.RemoteVariable'>	0x90	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[37]	<class 'pyrogue._Variable.RemoteVariable'>	0x94	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[38]	<class 'pyrogue._Variable.RemoteVariable'>	0x98	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[39]	<class 'pyrogue._Variable.RemoteVariable'>	0x9c	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[40]	<class 'pyrogue._Variable.RemoteVariable'>	0xa0	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[41]	<class 'pyrogue._Variable.RemoteVariable'>	0xa4	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[42]	<class 'pyrogue._Variable.RemoteVariable'>	0xa8	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[43]	<class 'pyrogue._Variable.RemoteVariable'>	0xac	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[44]	<class 'pyrogue._Variable.RemoteVariable'>	0xb0	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[45]	<class 'pyrogue._Variable.RemoteVariable'>	0xb4	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[46]	<class 'pyrogue._Variable.RemoteVariable'>	0xb8	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[47]	<class 'pyrogue._Variable.RemoteVariable'>	0xbc	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[48]	<class 'pyrogue._Variable.RemoteVariable'>	0xc0	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[49]	<class 'pyrogue._Variable.RemoteVariable'>	0xc4	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[50]	<class 'pyrogue._Variable.RemoteVariable'>	0xc8	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[51]	<class 'pyrogue._Variable.RemoteVariable'>	0xcc	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[52]	<class 'pyrogue._Variable.RemoteVariable'>	0xd0	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[53]	<class 'pyrogue._Variable.RemoteVariable'>	0xd4	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[54]	<class 'pyrogue._Variable.RemoteVariable'>	0xd8	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[55]	<class 'pyrogue._Variable.RemoteVariable'>	0xdc	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[56]	<class 'pyrogue._Variable.RemoteVariable'>	0xe0	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[57]	<class 'pyrogue._Variable.RemoteVariable'>	0xe4	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[58]	<class 'pyrogue._Variable.RemoteVariable'>	0xe8	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[59]	<class 'pyrogue._Variable.RemoteVariable'>	0xec	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[60]	<class 'pyrogue._Variable.RemoteVariable'>	0xf0	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[61]	<class 'pyrogue._Variable.RemoteVariable'>	0xf4	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[62]	<class 'pyrogue._Variable.RemoteVariable'>	0xf8	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[63]	<class 'pyrogue._Variable.RemoteVariable'>	0xfc	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[64]	<class 'pyrogue._Variable.RemoteVariable'>	0x100	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[65]	<class 'pyrogue._Variable.RemoteVariable'>	0x104	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[66]	<class 'pyrogue._Variable.RemoteVariable'>	0x108	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[67]	<class 'pyrogue._Variable.RemoteVariable'>	0x10c	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[68]	<class 'pyrogue._Variable.RemoteVariable'>	0x110	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[69]	<class 'pyrogue._Variable.RemoteVariable'>	0x114	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[70]	<class 'pyrogue._Variable.RemoteVariable'>	0x118	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[71]	<class 'pyrogue._Variable.RemoteVariable'>	0x11c	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[72]	<class 'pyrogue._Variable.RemoteVariable'>	0x120	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[73]	<class 'pyrogue._Variable.RemoteVariable'>	0x124	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[74]	<class 'pyrogue._Variable.RemoteVariable'>	0x128	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.PcieConfigHdr[75]	<class 'pyrogue._Variable.RemoteVariable'>	0x12c	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.VendorId	<class 'pyrogue._Variable.RemoteVariable'>	0x0	[0]	[16]	None	Vendor ID
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.DeviceId	<class 'pyrogue._Variable.RemoteVariable'>	0x0	[16]	[16]	None	Device ID
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.SubVendorId	<class 'pyrogue._Variable.RemoteVariable'>	0x2c	[0]	[16]	None	Subsystem Vendor ID
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.SubDeviceId	<class 'pyrogue._Variable.RemoteVariable'>	0x2c	[16]	[16]	None	Subsystem Device ID
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.Command	<class 'pyrogue._Variable.RemoteVariable'>	0x4	[0]	[16]	None	
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.Status	<class 'pyrogue._Variable.RemoteVariable'>	0x4	[16]	[16]	None	
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.BusNumber	<class 'pyrogue._Variable.RemoteVariable'>	0x10	[20]	[4]	None	Bus Number of port for PCIe.
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.DeviceNumber	<class 'pyrogue._Variable.RemoteVariable'>	0x10	[11]	[5]	None	Device number of port for PCIe.
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.FunctionNumber	<class 'pyrogue._Variable.RemoteVariable'>	0x10	[8]	[3]	None	Function number of the port for PCIe. Hard-wired to 0.
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.Gen2Capable	<class 'pyrogue._Variable.RemoteVariable'>	0x130	[0]	[1]	None	If set, underlying integrated block supports PCIe Gen2 speed.
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.Gen3Capable	<class 'pyrogue._Variable.RemoteVariable'>	0x130	[3]	[1]	None	If set, underlying integrated block supports PCIe Gen3 speed.
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.RootPortPresent	<class 'pyrogue._Variable.RemoteVariable'>	0x130	[1]	[1]	None	Indicates the underlying integrated block is a Root Port when this bit is set. If set, Root Port registers are present in this interface.
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.UpConfigCapable	<class 'pyrogue._Variable.RemoteVariable'>	0x130	[2]	[1]	None	Indicates the underlying integrated block is upconfig capable when this bit is set.
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.LinkRateGen2	<class 'pyrogue._Variable.RemoteVariable'>	0x144	[0]	[1]	None	0b = 2.5 GT/s (if bit[12] = 0), or 8.0GT/s (if bit[12] = 1), 1b = 5.0 GT/s
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.LinkRateGen3	<class 'pyrogue._Variable.RemoteVariable'>	0x144	[12]	[1]	None	Reports the current link rate. 0b = see bit[0]. 1b = 8.0 GT/s
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.LinkWidth16	<class 'pyrogue._Variable.RemoteVariable'>	0x144	[13]	[1]	None	Reports the current link width. 0b = See bit[2:1]. 1b = x16.
TimeToolDev.HW.AxiPcieCore.AxiPciePhy.LinkWidth	<class 'pyrogue._Variable.RemoteVariable'>	0x144	[1]	[2]	None	Reports the current link width. 00b = x1, 01b = x2, 10b = x4, 11b = x8.
TimeToolDev.HW.AxiPcieCore.AxiVersion.FpgaVersion	<class 'pyrogue._Variable.RemoteVariable'>	0x0	[0]	[32]	None	FPGA Firmware Version Number
TimeToolDev.HW.AxiPcieCore.AxiVersion.ScratchPad	<class 'pyrogue._Variable.RemoteVariable'>	0x4	[0]	[32]	None	Register to test reads and writes
TimeToolDev.HW.AxiPcieCore.AxiVersion.UpTimeCnt	<class 'pyrogue._Variable.RemoteVariable'>	0x8	[0]	[32]	None	Number of seconds since last reset
TimeToolDev.HW.AxiPcieCore.AxiVersion.FpgaReloadHalt	<class 'pyrogue._Variable.RemoteVariable'>	0x100	[0]	[1]	None	Used to halt automatic reloads via AxiVersion
TimeToolDev.HW.AxiPcieCore.AxiVersion.FpgaReload	<class 'pyrogue._Command.RemoteCommand'>	0x104	[0]	[1]	None	Optional Reload the FPGA from the attached PROM
TimeToolDev.HW.AxiPcieCore.AxiVersion.FpgaReloadAddress	<class 'pyrogue._Variable.RemoteVariable'>	0x108	[0]	[32]	None	Reload start address
TimeToolDev.HW.AxiPcieCore.AxiVersion.UserReset	<class 'pyrogue._Variable.RemoteVariable'>	0x10c	[0]	[1]	None	Optional User Reset
TimeToolDev.HW.AxiPcieCore.AxiVersion.FdSerial	<class 'pyrogue._Variable.RemoteVariable'>	0x300	[0]	[64]	None	Board ID value read from DS2411 chip
TimeToolDev.HW.AxiPcieCore.AxiVersion.DeviceId	<class 'pyrogue._Variable.RemoteVariable'>	0x500	[0]	[32]	None	Device Identification  (configued by generic)
TimeToolDev.HW.AxiPcieCore.AxiVersion.GitHash	<class 'pyrogue._Variable.RemoteVariable'>	0x600	[0]	[160]	None	GIT SHA-1 Hash
TimeToolDev.HW.AxiPcieCore.AxiVersion.DeviceDna	<class 'pyrogue._Variable.RemoteVariable'>	0x700	[0]	[128]	None	Xilinx Device DNA value burned into FPGA
TimeToolDev.HW.AxiPcieCore.AxiVersion.BuildStamp	<class 'pyrogue._Variable.RemoteVariable'>	0x800	[0]	[2048]	None	Firmware Build String
TimeToolDev.HW.AxiPcieCore.AxiMicronN25Q[0].Test	<class 'pyrogue._Variable.RemoteVariable'>	0x0	[0]	[32]	None	Scratch Pad tester register
TimeToolDev.HW.AxiPcieCore.AxiMicronN25Q[1].Test	<class 'pyrogue._Variable.RemoteVariable'>	0x0	[0]	[32]	None	Scratch Pad tester register
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.FrameRate[0]	<class 'pyrogue._Variable.RemoteVariable'>	0x10	[0]	[32]	None	Current Frame Rate
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.FrameRateMax[0]	<class 'pyrogue._Variable.RemoteVariable'>	0x14	[0]	[32]	None	Max Frame Rate
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.FrameRateMin[0]	<class 'pyrogue._Variable.RemoteVariable'>	0x18	[0]	[32]	None	Min Frame Rate
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.Bandwidth[0]Raw	<class 'pyrogue._Variable.RemoteVariable'>	0x1c	[0]	[64]	None	Current Bandwidth
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.BandwidthMax[0]Raw	<class 'pyrogue._Variable.RemoteVariable'>	0x24	[0]	[64]	None	Max Bandwidth
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.BandwidthMin[0]Raw	<class 'pyrogue._Variable.RemoteVariable'>	0x2c	[0]	[64]	None	Min Bandwidth
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.FrameRate[1]	<class 'pyrogue._Variable.RemoteVariable'>	0x40	[0]	[32]	None	Current Frame Rate
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.FrameRateMax[1]	<class 'pyrogue._Variable.RemoteVariable'>	0x44	[0]	[32]	None	Max Frame Rate
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.FrameRateMin[1]	<class 'pyrogue._Variable.RemoteVariable'>	0x48	[0]	[32]	None	Min Frame Rate
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.Bandwidth[1]Raw	<class 'pyrogue._Variable.RemoteVariable'>	0x4c	[0]	[64]	None	Current Bandwidth
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.BandwidthMax[1]Raw	<class 'pyrogue._Variable.RemoteVariable'>	0x54	[0]	[64]	None	Max Bandwidth
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.BandwidthMin[1]Raw	<class 'pyrogue._Variable.RemoteVariable'>	0x5c	[0]	[64]	None	Min Bandwidth
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.FrameRate[2]	<class 'pyrogue._Variable.RemoteVariable'>	0x70	[0]	[32]	None	Current Frame Rate
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.FrameRateMax[2]	<class 'pyrogue._Variable.RemoteVariable'>	0x74	[0]	[32]	None	Max Frame Rate
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.FrameRateMin[2]	<class 'pyrogue._Variable.RemoteVariable'>	0x78	[0]	[32]	None	Min Frame Rate
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.Bandwidth[2]Raw	<class 'pyrogue._Variable.RemoteVariable'>	0x7c	[0]	[64]	None	Current Bandwidth
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.BandwidthMax[2]Raw	<class 'pyrogue._Variable.RemoteVariable'>	0x84	[0]	[64]	None	Max Bandwidth
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.BandwidthMin[2]Raw	<class 'pyrogue._Variable.RemoteVariable'>	0x8c	[0]	[64]	None	Min Bandwidth
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.FrameRate[3]	<class 'pyrogue._Variable.RemoteVariable'>	0xa0	[0]	[32]	None	Current Frame Rate
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.FrameRateMax[3]	<class 'pyrogue._Variable.RemoteVariable'>	0xa4	[0]	[32]	None	Max Frame Rate
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.FrameRateMin[3]	<class 'pyrogue._Variable.RemoteVariable'>	0xa8	[0]	[32]	None	Min Frame Rate
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.Bandwidth[3]Raw	<class 'pyrogue._Variable.RemoteVariable'>	0xac	[0]	[64]	None	Current Bandwidth
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.BandwidthMax[3]Raw	<class 'pyrogue._Variable.RemoteVariable'>	0xb4	[0]	[64]	None	Max Bandwidth
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.BandwidthMin[3]Raw	<class 'pyrogue._Variable.RemoteVariable'>	0xbc	[0]	[64]	None	Min Bandwidth
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.FrameRate[4]	<class 'pyrogue._Variable.RemoteVariable'>	0xd0	[0]	[32]	None	Current Frame Rate
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.FrameRateMax[4]	<class 'pyrogue._Variable.RemoteVariable'>	0xd4	[0]	[32]	None	Max Frame Rate
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.FrameRateMin[4]	<class 'pyrogue._Variable.RemoteVariable'>	0xd8	[0]	[32]	None	Min Frame Rate
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.Bandwidth[4]Raw	<class 'pyrogue._Variable.RemoteVariable'>	0xdc	[0]	[64]	None	Current Bandwidth
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.BandwidthMax[4]Raw	<class 'pyrogue._Variable.RemoteVariable'>	0xe4	[0]	[64]	None	Max Bandwidth
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.BandwidthMin[4]Raw	<class 'pyrogue._Variable.RemoteVariable'>	0xec	[0]	[64]	None	Min Bandwidth
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.FrameRate[5]	<class 'pyrogue._Variable.RemoteVariable'>	0x100	[0]	[32]	None	Current Frame Rate
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.FrameRateMax[5]	<class 'pyrogue._Variable.RemoteVariable'>	0x104	[0]	[32]	None	Max Frame Rate
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.FrameRateMin[5]	<class 'pyrogue._Variable.RemoteVariable'>	0x108	[0]	[32]	None	Min Frame Rate
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.Bandwidth[5]Raw	<class 'pyrogue._Variable.RemoteVariable'>	0x10c	[0]	[64]	None	Current Bandwidth
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.BandwidthMax[5]Raw	<class 'pyrogue._Variable.RemoteVariable'>	0x114	[0]	[64]	None	Max Bandwidth
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.BandwidthMin[5]Raw	<class 'pyrogue._Variable.RemoteVariable'>	0x11c	[0]	[64]	None	Min Bandwidth
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.FrameRate[6]	<class 'pyrogue._Variable.RemoteVariable'>	0x130	[0]	[32]	None	Current Frame Rate
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.FrameRateMax[6]	<class 'pyrogue._Variable.RemoteVariable'>	0x134	[0]	[32]	None	Max Frame Rate
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.FrameRateMin[6]	<class 'pyrogue._Variable.RemoteVariable'>	0x138	[0]	[32]	None	Min Frame Rate
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.Bandwidth[6]Raw	<class 'pyrogue._Variable.RemoteVariable'>	0x13c	[0]	[64]	None	Current Bandwidth
TimeToolDev.HW.AxiPcieCore.DmaIbAxisMon.BandwidthMax[6]Raw	<class 'pyrogue._Variable.RemoteVariable'>	0x144	[0]	[64]	None	Max Bandwidth
